NAME,SUBSCRIPT,DEFAULT_VALUE,DESCRIPTION,UNITS,SET_VALUE,REMARK
CYZ,8,0.0,Function coefficient of :math:`yz` for subcomponent :envvar:`n`,1/cm^2,0,
CZ2,8,0.0,Function coefficient of :math:`z^2` for subcomponent :envvar:`n`,1/cm^2,0,
CZ,8,0.0,Function coefficient of :math:`z` for subcomponent :envvar:`n`,1/cm,0,
CDUM,8,0.0,Dummy function coefficient for subcomponent :envvar:`n` for customizing functions.,VARIES,0.0,
CCTIME,"1, 8",0.0,Time table for the time dependent properties of the cooling channel,s,0,
CCTEMP,"1, 8",...,"Temperature of the cooling channel between time :envvar:`CCTIME(t,n)` and :envvar:`CCTIME(t+1,n)`",K,24.85,
HCCT,"1, 8",0.0,"Heat transfer coefficient between the cooling channel subcomponent :envvar:`n` and its component :envvar:`m` between time :envvar:`CCTIME(t,n)` and :envvar:`CCTIME(t+1,n)`",g s :sup:-3 K :sup:-1 ,0,
ICCTIME,"1, 8",1,On/off status for the cooling channel,NONE,1,
RTORIN,8,-1.0,Minor toroid radius,cm,-1,
RTOROUT,8,-1.0,Major toroid radius,cm,-1,
IOB,9,0,Associates subcomponent :envvar:`n` with a particular component,NONE,6,
SUBCMPID,9,""" """,Character string allowing user to identify subcomponent :envvar:`n` (up to 50 characters),NONE,'Riser',
IOH,9,1,Subcomponent type,NONE,0,
IGEN,9,0,"Subcomponent generation flag, indicates source of geometric data for region :envvar:`n`",NONE,3,
FSTL,9,:file:`stlfnn.inp`,"File name for stereolithography (STL) CAD data file, where ""nn ""= n.",NONE,'../Filling/Riser.stl',
ROUGHSUB,9,ROUGH,m,Wall roughness for subcomponent :envvar:`n` for wall shear stress calculations. A roughness of 0.0 corresponds to a smooth surface. :envvar:`ROUGHSUB` < 0 ,[L]    ,0,
RCMANSUB,9,RCMAN(m),Manning roughness coefficient for subcomponent :envvar:`n` that belongs to component :envvar:`m`. Note only value in SI unit is used.,s/cm^1/3,0.0,
MAGN,9,1.0,Magnification (scaling) factor for subcomponent :envvar:`n`,NON-DIM,0.001,
MAGNX,9,1.0,Scaling factor in x-direction for subcomponent :envvar:`n`,NON-DIM,1.0,
MAGNY,9,1.0,Scaling factor in y-direction for subcomponent :envvar:`n`,NON-DIM,1.0,
MAGNZ,9,1.0,Scaling factor in z-direction for subcomponent :envvar:`n`,NON-DIM,1.0,
CC,9,-0.1,Function constant coefficient for subcomponent :envvar:`n`,NON-DIM,0.0,
CX2,9,0.0,Function coefficient of :math:`x^2` for subcomponent :envvar:`n`,1/cm^2,0,
CX,9,0.0,Function coefficient of :math:`x` for subcomponent :envvar:`n`,1/cm,0,
CXY,9,0.0,Function coefficient of :math:`xy` for subcomponent :envvar:`n`,1/cm^2,0,
CXZ,9,0.0,Function coefficient of :math:`xz` for subcomponent :envvar:`n`,1/cm^2,0,
CY2,9,0.0,Function coefficient of :math:`y^2` for subcomponent :envvar:`n`,1/cm^2,0,
CY,9,0.0,Function coefficient of :math:`y` for subcomponent :envvar:`n`,1/cm,0,
CYZ,9,0.0,Function coefficient of :math:`yz` for subcomponent :envvar:`n`,1/cm^2,0,
CZ2,9,0.0,Function coefficient of :math:`z^2` for subcomponent :envvar:`n`,1/cm^2,0,
CZ,9,0.0,Function coefficient of :math:`z` for subcomponent :envvar:`n`,1/cm,0,
CDUM,9,0.0,Dummy function coefficient for subcomponent :envvar:`n` for customizing functions.,VARIES,0.0,
CCTIME,"1, 9",0.0,Time table for the time dependent properties of the cooling channel,s,0,
CCTEMP,"1, 9",...,"Temperature of the cooling channel between time :envvar:`CCTIME(t,n)` and :envvar:`CCTIME(t+1,n)`",K,24.85,
HCCT,"1, 9",0.0,"Heat transfer coefficient between the cooling channel subcomponent :envvar:`n` and its component :envvar:`m` between time :envvar:`CCTIME(t,n)` and :envvar:`CCTIME(t+1,n)`",g s :sup:-3 K :sup:-1 ,0,
ICCTIME,"1, 9",1,On/off status for the cooling channel,NONE,1,
RTORIN,9,-1.0,Minor toroid radius,cm,-1,
RTOROUT,9,-1.0,Major toroid radius,cm,-1,
IFSOFT,6,0,Flag to determine the stiffness of the component :envvar:`m` adjacent to solidified fluid region.,NONE,1,
LTHOBS,6,-1 ,The thickness of the thermally active layer along the surface of geometry component :envvar:`m`,cm,0.01,
ILTHOBS,6,0,Activates the thermal penetration depth of the component.,NON-DIM,0,
ROBS,6,1.0,Surface area multiplier due to roughness of component :envvar:`m`. This multiplies the cell-face area to give the effective heat transfer area for each cell. No heat transfer at component :envvar:`m` if :envvar:`ROBS(m)` = 0.0.,NON-DIM,1,
HOBS1S,6,...,Heat-transfer coefficient to solidified fluid #1 for component :envvar:`m`,g K^-1 s^-3,400,
ROUGH,6,...,Wall roughness for component :envvar:`m` for wall shear stress calculations. A roughness of 0.0 corresponds to a smooth surface. :envvar:`ROUGH` < 0 ,cm,0.0001,
RCMAN,6,0.0,Manning roughness coefficient on component :envvar:`m`,s/cm^1/3,0.0,
OECHRG,6,0.0,Initial uniform electric charge density in component :envvar:`m`,scoul/cm^3,0,
OEPOTZT,6,0.0,Zeta potential of component :envvar:`m`,g cm^2 scoul^-1 s^-2,0,
OECOND,6,0.0,Electric conductivity for component :envvar:`m`,scoul^2 s g^-1 cm^-3,0,
ODIEL,6,1.0,Dielectric constant (relative permittivity) for component :envvar:`m`.,NON-DIM,0.0,
OPOR,6,...,Component porosity (open volume fraction),NON-DIM,0.0,
OSPIN,"1, 6",0.0,Spin rate for rotating component :envvar:`m` at time :envvar:`TOBS(t)`,radians/s,0,
NOBLDS,6,0,Number of blades for added bladed effects,NONE,0,
OBLTHK,6,0.0,Blade tip thickness in the azimuthal direction (in units of length),cm,0,
ALPHWOBS,6,0.0,Coefficient for Van Genuchten wetting (filling) capillary pressure curve (units are in units of pressure),g cm^-1 s^-2,0,
XNWOBS,6,1.0,Outer exponent for wetting (filling) capillary pressure curve used in Van Genuchten unsaturated porous media model (dimensionless),NON-DIM,1.0,
XMWOBS,6,1.0,Inner exponent for wetting (filling) capillary pressure curve used in Van Genuchten unsaturated porous media model (dimensionless).,NON-DIM,1.0,
ALPHDOBS,6,0.0,Coefficient for Van Genuchten draining capillary pressure curve (units are in units of pressure),g cm^-1 s^-2,0,
XNDOBS,6,1.0,Outer exponent for draining capillary pressure curve used in Van Genuchten unsaturated porous media model (dimensionless).,NON-DIM,1.0,
XMDOBS,6,1.0,Inner exponent for draining capillary pressure curve used in Van Genuchten unsaturated porous media model (dimensionless).,NON-DIM,1.0,
XFRCO,6,0.0,x coordinate of the reference point for torque evaluation for component :envvar:`m`,cm,0,
YFRCO,6,0.0,y coordinate of the reference point for torque evaluation for component :envvar:`m`,cm,0,
ZFRCO,6,0.0,z coordinate of the reference point for torque evaluation for component :envvar:`m`,cm,0,
FAMP,6,0.0,Amplitude of sinusoidal actuator force,g cm s^2,0,
FREQ,6,0.0,Frequency of sinusoidal actuator force,1/s,0,
FPHS,6,0.0,Initial phase of sinusoidal actuator force,DEGREES,0,
RCOBS,6,0.0,"Density times specific heat product for component :envvar:`m`. If :envvar:`RCOBS(m)` :math:`>` 0.0, a dynamic equation is solved for the heat transfer surface temperature.",g cm^-1 K^-1 s^-2,7.2e+05,
KOBS,6,0.0,Thermal conductivity of component :envvar:`m`,g cm s^-3 K^-1,1.4,
XKOBS,6,1.0,Multiplier for x-direction thermal conductivity of component :envvar:`m`,NON-DIM,1.0,
YKOBS,6,1.0,Multiplier for y-direction thermal conductivity of component :envvar:`m`,NON-DIM,1.0,
ZKOBS,6,1.0,Multiplier for z-direction thermal conductivity of component :envvar:`m`,NON-DIM,1.0,
HOBS1,6,-1.0 ,Heat-transfer coefficient to fluid #1 for component :envvar:`m`,g K^-1 s^-3,600,
UAMP,6,0.0,Amplitude of sinusoidal translational x-velocity in space system,cm/s,0,
UFRE,6,0.0,"Frequency of sinusoidal translational x-velocity in space system, in Hz",1/s,0,
UPHS,6,0.0,"Initial phase of sinusoidal translational x-velocity in space system, in degrees",DEGREES,0,
VAMP,6,0.0,Amplitude of sinusoidal translational y-velocity in space system,cm/s,0,
VFRE,6,0.0,"Frequency of sinusoidal translational y-velocity in space system, in Hz",1/s,0,
VPHS,6,0.0,"Initial phase of sinusoidal translational y-velocity in space system, in degrees",DEGREES,0,
WAMP,6,0.0,Amplitude of sinusoidal translational z-velocity in space system,cm/s,0,
WFRE,6,0.0,"Frequency of sinusoidal translational z-velocity in space system, in Hz",1/s,0,
WPHS,6,0.0,"Initial phase of sinusoidal translational z-velocity in space system, in degrees",DEGREES,0,
OMXAMP,6,0.0,"Amplitude of sinusoidal x'- angular velocity in body system, in rad/s",radians/s,0,
OMXFRE,6,0.0,"Frequency of sinusoidal x'- angular velocity in body system, in Hz",1/s,0,
OMXPHS,6,0.0,"Initial phase of sinusoidal x'- angular velocity in body system, in degrees",DEGREES,0,
OMYAMP,6,0.0,"Amplitude of sinusoidal y'- angular velocity in body system, in rad/s",radians/s,0,
OMYFRE,6,0.0,"Frequency of sinusoidal y'- angular velocity in body system, in Hz",1/s,0,
OMYPHS,6,0.0,"Initial phase of sinusoidal y'- angular velocity in body system, in degrees",DEGREES,0,
OMZAMP,6,0.0,"Amplitude of sinusoidal z'- angular velocity in body system, in rad/s",radians/s,0,
OMZFRE,6,0.0,"Frequency of sinusoidal z'- angular velocity in body system, in Hz",1/s,0,
OMZPHS,6,0.0,"Initial phase of sinusoidal z'- angular velocity in body system, in degrees",DEGREES,0,
BURNIGNTEMP,6,0.0 degrees C or F,Threshold temperature below which combustible component :envvar:`m` does not burn.,K,0,
BURNA,6,1.0e-05,The combustion front velocity in the solid.,cm :sup:-1,1.0e-05,
BURNB,6,0.5,A dummy variable that can be used to customize the burn rate equation.   ,NONE    ,0.5,
TWOBS,"1, 6",TBCD,,Uniform temperature for component :envvar:`m`,[T],25,
HOBVT1,"1, 6",0.0,Time-dependent component :envvar:`m` heat transfer to void,g K^-1 s^-3,20,
QSRNCG,6,0.0,Volume fraction of the non-condensable gas component in the gas phase at mass source :envvar:`m`,NON-DIM,0.0,
RSATQSR,6,0.0,Relative saturation of the vapor component in the gas phase at mass source :envvar:`m`,NON-DIM,0.0,
SAOBS_C,6,0.0,"Total surface area for heat transfer for component :envvar:`m` without cores/liners, including surface area at parting lines and roughness effects defined by the area multiplier :envvar:`ROBS(m)`.",NONE,0.0,
VTPRES,"1, 6",PVOID,External vent pressure at time :envvar:`TOBS(t)`,g cm^-1 s^-2,101300,
VTTEMP,"1, 6",TVOID,External vent temperature at time :envvar:`TOBS(t)`,K,25,
VTF_MIN,6,0.0,Fluid fraction at vent :envvar:`m` below which fluid #1 is allowed to escape through the vent. ,NON-DIM,0.0,
SQP_TIME,6,0.0,Squeeze pin activation time,s,0,
SQP_FORCE,6,0.0,Constant force applied to squeeze pin,g cm s^-2,0,
SQP_SOLID,6,1.0,Fraction of pin's surface covered by solid when its movement stops,NONE,1.0,
USPNG,6,0.0,x-component of background stream velocity,cm/s,0,
VSPNG,6,0.0,y-component of background stream velocity,cm/s,0,
WSPNG,6,0.0,z-component of background stream velocity,cm/s,0,
C0SPNG,6,0.0,damping coefficient at the starting side of the wave absorbing layer,1/s,0.0,
C1SPNG,6,1.0,damping coefficient at the end side of the wave absorbing layer,1/s,1.0,
OPMASS_RESTIT,6,1.0,Mass particle coefficient of restitution for component :envvar:`m`,NON-DIM ,1.0,
OPGAS_RESTIT,6,1.0,Gas particle coefficient of restitution for component :envvar:`m`,NON-DIM,1.0,
OPLIQUID_RESTIT,6,1.0,Fluid particle coefficient of restitution for component :envvar:`m` for particles in liquid state,NON-DIM,1.0,
OPLIQUIDSD_RESTIT,6,1.0,Fluid particle coefficient of restitution for component :envvar:`m` for particles in solid state. Used when :envvar:`IFSLD` = 1.,NON-DIM,1.0,
OPVOID_RESTIT,6,1.0,Void particle coefficient of restitution for component :envvar:`m`,NON-DIM               ,1.0,
pq2_gate_area,6,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0,
SQP_X1,6,0,x coordinate of point #1 that defines the direction of the squeeze pin's motion.,cm,0,
SQP_Y1,6,0,Y coordinate of point #1 that defines the direction of the squeeze pin's motion.,cm,0,
SQP_Z1,6,0,Z coordinate of point #1 that defines the direction of the squeeze pin's motion.,cm,0,
SQP_X2,6,0,x coordinate of point #2 that defines the direction of the squeeze pin's motion.,cm,0,
SQP_Y2,6,0,y coordinate of point #2 that defines the direction of the squeeze pin's motion.,cm,0,
SQP_Z2,6,0,z coordinate of point #2 that defines the direction of the squeeze pin's motion.,cm,0,
exotime,6,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0,
exotemp,6,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,-273.15,
exoq,6,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0,
exotau,6,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0,
NPROBES_SQP,6,0,Number of local probe conditions for the activation event (used if :envvar:`IF_GLOBAL_SQP(m)` = 1),NONE,0,
CYC_TRANS_X,6,0.0,Component displacement in x direction during spray cooling,cm,0,
CYC_TRANS_Y,6,0.0,Component displacement in y direction during spray cooling,cm,0,
CYC_TRANS_Z,6,0.0,Component displacement in y direction during spray cooling,cm,0,
ITPOBS_TIME,"1, 6",1,on/off status table for power component :envvar:`m`,NONE,1,
SHELL_THOBS,6,0.0,Shell mold thickness for component :envvar:`m`,cm,0,
rad_cluster_angle,6,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,30,
hobem,6,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.0,
GXTRFC,6,0.0,x-coordinate of transformation center for component :envvar:`m`,cm,0,
GYTRFC,6,0.0,y-coordinate of transformation center for component :envvar:`m`,cm,0,
GZTRFC,6,0.0,z-coordinate of transformation center for component :envvar:`m`,cm,0,
GMAGN,6,1.0,Magnification (scaling) factor for component :envvar:`m`,NONE,1.0,
GROTX,6,0.0,"Rotation of component :envvar:`m` about x-axis, positive in right hand",Degrees,0,
GROTY,6,0.0,"Rotation of component :envvar:`m` about y-axis, positive in right hand",Degrees,0,
GROTZ,6,0.0,"Rotation of component :envvar:`m` about z-axis, positive in right hand",Degrees,0,
GTRNX,6,0.0,Translation of component :envvar:`m` in x-direction,cm,0,
GTRNY,6,0.0,Translation of component :envvar:`m` in y-direction,cm,0,
GTRNZ,6,0.0,Translation of component :envvar:`m` in z-direction,cm,0,
XAXS0,6,0.0,X-coordinate of fixed point or fixed axis in space system,cm,0,
YAXS0,6,0.0,Y-coordinate of fixed point or fixed axis in space system.,cm,0,
ZAXS0,6,0.0,Z-coordinate of fixed point or fixed axis in space system,cm,0,
delay_plunger,6,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0,
IFOB,7,0,"""Free"" (or phantom) component flag",NONE,8,
OBSID,7,""" """,Character string allowing user to identify component :envvar:`m` (up to 30 characters),NONE,'Sampling volume 1',
IOB,10,0,Associates subcomponent :envvar:`n` with a particular component,NONE,7,
SUBCMPID,10,""" """,Character string allowing user to identify subcomponent :envvar:`n` (up to 50 characters),NONE,'Subvolume 1',
IGEN,10,0,"Subcomponent generation flag, indicates source of geometric data for region :envvar:`n`",NONE,3,
FSTL,10,:file:`stlfnn.inp`,"File name for stereolithography (STL) CAD data file, where ""nn ""= n.",NONE,'../Filling/Casting Part 1.stl',
ROUGHSUB,10,ROUGH,m,Wall roughness for subcomponent :envvar:`n` for wall shear stress calculations. A roughness of 0.0 corresponds to a smooth surface. :envvar:`ROUGHSUB` < 0 ,[L]    ,0,
RCMANSUB,10,RCMAN(m),Manning roughness coefficient for subcomponent :envvar:`n` that belongs to component :envvar:`m`. Note only value in SI unit is used.,s/cm^1/3,0.0,
MAGN,10,1.0,Magnification (scaling) factor for subcomponent :envvar:`n`,NON-DIM,0.001,
MAGNX,10,1.0,Scaling factor in x-direction for subcomponent :envvar:`n`,NON-DIM,1.0,
MAGNY,10,1.0,Scaling factor in y-direction for subcomponent :envvar:`n`,NON-DIM,1.0,
MAGNZ,10,1.0,Scaling factor in z-direction for subcomponent :envvar:`n`,NON-DIM,1.0,
ROTX,10,0°,"Subcomponent :envvar:`n` rotation about x-axis in degrees, positive in right hand sense",DEGREES,0,
ROTY,10,0°,Subcomponent :envvar:`n` rotation about y-axis in degrees,DEGREES,0,
ROTZ,10,0°,Subcomponent :envvar:`n` rotation about z-axis in degrees,DEGREES,0,
TRNX,10,0.0,Subcomponent :envvar:`n` translation in x-direction,cm,0,
TRNY,10,0.0,Subcomponent :envvar:`n` translation in y-direction,cm,0,
TRNZ,10,0.0,Subcomponent :envvar:`n` translation in z-direction,cm,0,
CC,10,-0.1,Function constant coefficient for subcomponent :envvar:`n`,NON-DIM,0.0,
CX2,10,0.0,Function coefficient of :math:`x^2` for subcomponent :envvar:`n`,1/cm^2,0,
CX,10,0.0,Function coefficient of :math:`x` for subcomponent :envvar:`n`,1/cm,0,
CXY,10,0.0,Function coefficient of :math:`xy` for subcomponent :envvar:`n`,1/cm^2,0,
CXZ,10,0.0,Function coefficient of :math:`xz` for subcomponent :envvar:`n`,1/cm^2,0,
CY2,10,0.0,Function coefficient of :math:`y^2` for subcomponent :envvar:`n`,1/cm^2,0,
CY,10,0.0,Function coefficient of :math:`y` for subcomponent :envvar:`n`,1/cm,0,
CYZ,10,0.0,Function coefficient of :math:`yz` for subcomponent :envvar:`n`,1/cm^2,0,
CZ2,10,0.0,Function coefficient of :math:`z^2` for subcomponent :envvar:`n`,1/cm^2,0,
CZ,10,0.0,Function coefficient of :math:`z` for subcomponent :envvar:`n`,1/cm,0,
CDUM,10,0.0,Dummy function coefficient for subcomponent :envvar:`n` for customizing functions.,VARIES,0.0,
CCTIME,"1, 10",0.0,Time table for the time dependent properties of the cooling channel,s,0,
CCTEMP,"1, 10",...,"Temperature of the cooling channel between time :envvar:`CCTIME(t,n)` and :envvar:`CCTIME(t+1,n)`",K,24.85,
HCCT,"1, 10",0.0,"Heat transfer coefficient between the cooling channel subcomponent :envvar:`n` and its component :envvar:`m` between time :envvar:`CCTIME(t,n)` and :envvar:`CCTIME(t+1,n)`",g s :sup:-3 K :sup:-1 ,0,
ICCTIME,"1, 10",1,On/off status for the cooling channel,NONE,1,
RTORIN,10,-1.0,Minor toroid radius,cm,-1,
RTOROUT,10,-1.0,Major toroid radius,cm,-1,
ILTHOBS,7,0,Activates the thermal penetration depth of the component.,NON-DIM,0,
IFVSPNG,7,1,flag for background stream velocity,NONE,0,
NPROBES_SQP,7,0,Number of local probe conditions for the activation event (used if :envvar:`IF_GLOBAL_SQP(m)` = 1),NONE,0,
TOBS,1,0.0,Times for time-dependent component arrays,s,0,
HTCOB,"6, 1",-1.0,Heat transfer coefficient between component :envvar:`m1` and component :envvar:`m2`,g K^-1 s^-3,400,
HTCOB,"3, 1",-1.0,Heat transfer coefficient between component :envvar:`m1` and component :envvar:`m2`,g K^-1 s^-3,400,
HTCOB,"4, 2",-1.0,Heat transfer coefficient between component :envvar:`m1` and component :envvar:`m2`,g K^-1 s^-3,500,
HTCOB,"6, 3",-1.0,Heat transfer coefficient between component :envvar:`m1` and component :envvar:`m2`,g K^-1 s^-3,400,
HTCOB,"6, 4",-1.0,Heat transfer coefficient between component :envvar:`m1` and component :envvar:`m2`,g K^-1 s^-3,500,
HTCOB,"6, 5",-1.0,Heat transfer coefficient between component :envvar:`m1` and component :envvar:`m2`,g K^-1 s^-3,500,
bc_em,,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.0,
rad_cluster_size_wall,,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0,
vel_plunger_min,,MISSING DEFAULT VALUE,MISSING DESCRIPTION,MISSING UNITS,0.01,
AVRCK,,3.1,Cell volume fractions are adjusted in so-called *sliver* cells so that the area/volume fraction ratios do not exceed this value. ,NON-DIM,3.1,
TOLERANCE_GAP,,0.0,Gap size tolerance. Gaps that are smaller than the tolerance will be closed.,cm,0,
TOLERANCE_SKIN,,0.0,Skin size tolerance. Skins that are smaller than the tolerance will be converted to the base component which they,cm,0,
NSPRP,,0,"Total number of elastic springs, elastic ropes and mooring lines.",NONE,0,
FL,BLOCK,BLOCK,Fluid initial conditions,BLOCK,BLOCK,BLOCK
NFLS,,0,Number of fluid regions,NONE,0,
UI,,0.0,Initial uniform fluid velocity in x-direction,cm/s,0,
VI,,0.0,Initial uniform fluid velocity in y-direction,cm/s,0,
WI,,0.0,Initial uniform fluid velocity in z-direction.,cm/s,0,
VLIN,,0.0,Initial volume of fluid #1 in mesh,cm^3,0,
SEGI,,0.0,Initial uniform segregation solute mass concentration,g/cm^3,0,
PVOID,,...,"Void initial vapor pressure. Defaults to zero if gauge pressure is used, :envvar:`IPGAUGE` = 1, and to :envvar:`P_REFERENCE` otherwise.",g cm^-1 s^-2,1.013e5,
PRESI,,PVOID,,Uniform initial fluid pressure,[M L\ :sup:`-1` t\ :sup:`-2`],101300,
RPSI,,0.0,Initial rotation rate of fluid around z-axis in radians per unit time,radians/s,0,
CNCI,,0.0,Initial volume fraction of the non-condensable gas component in the gas phase,NON-DIM,0.995,
RSATI,,0.0,Initial relative saturation of vapor in the gas phase when the non-condensable gas model is used.,NON-DIM,0.01,
CHRGI,,0.0,Initial uniform electric charge density in the fluid,scoul/cm^3,0,
VALCGX,,0.02,"Global vent coefficient multiplier: multiply VALCGX by the sum of all VALC to represent the global air flow through the granular material to the vents. The global valve coefficient accounts for the average flow losses through sand plus the reduction in the effective area of vents because of blockage by sand, and is experienced by all void regions regardless of whether they contain a vent.",NON-DIM,0.02,
TEMPI,,T_REFERENCE,,Uniform initial fluid temperature of fluid #1.,[T],683,
TEMPI2,,TEMPI,,Uniform initial fluid temperature of fluid #2.,[T]     ,25,
TVOID,,TEMPI,,Constant uniform void-region temperature,[T],25,
IGIVHT,,0,"Global heat transfer void identifier; indicates which heat transfer coefficients will be used for voids. (Heat transfer coefficients are in namelists :envvar:`XPUT`, :envvar:`BCDATA`, :envvar:`OBS` and :envvar:`BF`.)",NONE,1,
AIRI,,0.0,Initial uniform volume fraction of entrained air in the fluid,NON-DIM,0.0,
UDEEP,,0.0,Deep water velocity in x-direction.,cm/s,0,
VDEEP,,0.0,Deep water velocity in y-direction.,cm/s]    ,0,
WDEEP,,0.0,Deep water velocity in z-direction.,cm/s]   ,0,
BF,BLOCK,BLOCK,Baffle setup,BLOCK,BLOCK,BLOCK
NBAFS,,0,Number of baffles,NONE,2,
FPTITL,1,"""flux surfc m""",Flux surface title (up to 30 characters),NONE,'Baffle 1',
IFBAF,1,0,Flux surface flag,NONE,1,
IF_BAFFLE_ENABLED,1,1,Activation flag for baffle :envvar:`m`,NONE     ,0,
BAFFLEREGIONNAME,1,' ',Baffle region :envvar:`n` name (up to 256 characters),NONE,'Region 1',
IBAF,1,0,Associates region :envvar:`n` with  baffle :envvar:`IBAF(n)`.,NONE,1,
BZ,1,...,Z-coordinate for region :envvar:`n`. Used when :envvar:`ISTLBF(n)` = 4.,cm,-0.01,
BXL,1,...,Lower x-coordinate limit for region :envvar:`n`,cm,-0.045,
BXH,1,...,Upper x-coordinate limit for region :envvar:`n`,cm,-0.01,
BYL,1,...,Lower y-coordinate limit for region :envvar:`n`,cm,-0.02,
BYH,1,...,Upper y-coordinate limit for region :envvar:`n`,cm,0.02,
BXTRFC,1,0.0,x-coordinate of transformation center for baffle region :envvar:`n`,cm,0,
BYTRFC,1,0.0,y-coordinate of transformation center for baffle region :envvar:`n`,cm,0,
BZTRFC,1,0.0,z-coordinate of transformation center for baffle region :envvar:`n`,cm,0,
BMAGN,1,1.0,Magnification (scaling) factor for region :envvar:`n`,NON-DIM,1.0,
BMAGNX,1,1.0,Scaling factor in x-direction for region :envvar:`n`,NON-DIM,1.0,
BMAGNY,1,1.0,Scaling factor in y-direction for region :envvar:`n`,NON-DIM,1.0,
BMAGNZ,1,1.0,Scaling factor in z-direction for region :envvar:`n`,NON-DIM,1.0,
BROTX,1,0°,"Region :envvar:`n` rotation about x-axis in degrees, positive in right-hand sense.",DEGREES,0,
BROTY,1,0°,Region :envvar:`n` rotation about y-axis in degrees,DEGREES,0,
BROTZ,1,0°,Region :envvar:`n` rotation about z-axis in degrees,DEGREES,0,
BTRNX,1,0.0,Region :envvar:`n` translation in x-direction,cm,0,
BTRNY,1,0.0,Region :envvar:`n` translation in y-direction,cm,0,
BTRNZ,1,0.0,Region :envvar:`n` translation in z-direction,cm,0,
BTRNZ,1,0.0,Region :envvar:`n` translation in z-direction,cm,0,
ISTLBF,1,0,Flag for STL input for baffle region :envvar:`n`,NONE,4,
PBAF,1,...,Baffle porosity (open area fraction),NON-DIM,1,
KBAF1,1,0.0,Linear coefficient for baffle pressure drop,cm/s,0,
KBAF2,1,0.0,Quadratic coefficient for baffle pressure drop,NON-DIM,0.0,
HBAF1,1,0.0,Effective heat-transfer coefficient for fluid #1,g K^-1 s^-3,0,
HBAF2,1,0.0,Effective heat-transfer coefficient for fluid #2,g K^-1 s^-3,0,
HBFV1,1,0.0,Cross-baffle heat transfer coefficient to type 1 void,g K^-1 s^-3,0,
HBFV2,1,0.0,Cross-baffle heat transfer coefficient to type 2 void,g K^-1 s^-3,0,
HBFV3,1,0.0,Cross-baffle heat transfer coefficient to type 3 void,g K^-1 s^-3,0,
CMSC_TR,1,0.0,Molecular diffusion coefficient of tracer *m*,g cm^-1 s^-1,0,
RMSC_TR,1,0.0,Turbulent diffusion coefficient multiplier for tracer *m*,NON-DIM,0.0,
FPTITL,2,"""flux surfc m""",Flux surface title (up to 30 characters),NONE,'Baffle 2',
IFBAF,2,0,Flux surface flag,NONE,1,
IF_BAFFLE_ENABLED,2,1,Activation flag for baffle :envvar:`m`,NONE     ,0,
BAFFLEREGIONNAME,2,' ',Baffle region :envvar:`n` name (up to 256 characters),NONE,'Region 1',
IBAF,2,0,Associates region :envvar:`n` with  baffle :envvar:`IBAF(n)`.,NONE,2,
BZ,2,...,Z-coordinate for region :envvar:`n`. Used when :envvar:`ISTLBF(n)` = 4.,cm,-0.01,
BXL,2,...,Lower x-coordinate limit for region :envvar:`n`,cm,0.01,
BXH,2,...,Upper x-coordinate limit for region :envvar:`n`,cm,0.045,
BYL,2,...,Lower y-coordinate limit for region :envvar:`n`,cm,-0.02,
BYH,2,...,Upper y-coordinate limit for region :envvar:`n`,cm,0.02,
BXTRFC,2,0.0,x-coordinate of transformation center for baffle region :envvar:`n`,cm,0,
BYTRFC,2,0.0,y-coordinate of transformation center for baffle region :envvar:`n`,cm,0,
BZTRFC,2,0.0,z-coordinate of transformation center for baffle region :envvar:`n`,cm,0,
BMAGN,2,1.0,Magnification (scaling) factor for region :envvar:`n`,NON-DIM,1.0,
BMAGNX,2,1.0,Scaling factor in x-direction for region :envvar:`n`,NON-DIM,1.0,
BMAGNY,2,1.0,Scaling factor in y-direction for region :envvar:`n`,NON-DIM,1.0,
BMAGNZ,2,1.0,Scaling factor in z-direction for region :envvar:`n`,NON-DIM,1.0,
BROTX,2,0°,"Region :envvar:`n` rotation about x-axis in degrees, positive in right-hand sense.",DEGREES,0,
BROTY,2,0°,Region :envvar:`n` rotation about y-axis in degrees,DEGREES,0,
BROTZ,2,0°,Region :envvar:`n` rotation about z-axis in degrees,DEGREES,0,
BTRNX,2,0.0,Region :envvar:`n` translation in x-direction,cm,0,
BTRNY,2,0.0,Region :envvar:`n` translation in y-direction,cm,0,
BTRNZ,2,0.0,Region :envvar:`n` translation in z-direction,cm,0,
BTRNZ,2,0.0,Region :envvar:`n` translation in z-direction,cm,0,
ISTLBF,2,0,Flag for STL input for baffle region :envvar:`n`,NONE,4,
